x,y
0,281
1,155
2,136
3,134
4,132
5,132
6,131
7,132
8,132
9,132
10,132
11,132
12,132
13,132
14,133
15,134
16,134
17,135
18,135
19,135
20,135
21,135
22,135
23,135
24,135
25,135
26,135
27,135
28,135
29,135
30,135
31,134
32,133
33,132
34,132
35,131
36,132
37,132
38,132
39,132
40,132
41,132
42,132
43,132
44,133
45,133
46,133
47,133
48,133
49,133
50,133
51,133
52,133
53,132
54,132
55,132
56,132
57,131
58,131
59,131
60,131
61,132
62,132
63,132
64,133
65,133
66,133
67,133
68,133
69,133
70,132
71,132
72,132
73,132
74,133
75,134
76,134
77,133
78,133
79,132
80,132
81,133
82,133
83,133
84,134
85,133
86,133
87,133
88,134
89,135
90,142
91,155
92,164
93,180
94,187
95,196
96,213
97,217
98,293
99,300
100,304
101,307
102,309
103,311
104,314
105,316
106,321
107,325
108,327
109,327
110,328
111,328
112,328
113,328
114,328
115,328
116,328
117,328
118,328
119,328
120,328
121,328
122,328
123,328
124,328
125,329
126,330
127,330
128,330
129,330
130,331
131,331
132,332
133,332
134,332
135,332
136,332
137,332
138,332
139,332
140,332
141,332
142,332
143,331
144,331
145,331
146,331
147,331
148,331
149,331
150,332
151,332
152,332
153,333
154,333
155,334
156,333
157,333
158,333
159,333
160,333
161,333
162,333
163,332
164,332
165,331
166,331
167,331
168,331
169,330
170,330
171,330
172,330
173,330
174,330
175,329
176,329
177,329
178,328
179,328
180,328
181,328
182,329
183,329
184,330
185,330
186,330
187,331
188,331
189,330
190,330
191,330
192,329
193,329
194,328
195,328
196,328
197,328
198,328
199,328
200,329
201,329
202,329
203,330
204,330
205,330
206,329
207,329
208,328
209,328
210,328
211,328
212,328
213,328
214,328
215,327
216,327
217,327
218,327
219,327
220,328
221,329
222,330
223,331
224,331
225,331
226,331
227,331
228,330
229,330
230,330
231,330
232,330
233,330
234,331
235,331
236,331
237,332
238,332
239,333
240,334
241,335
242,335
243,336
244,336
245,336
246,336
247,336
248,336
249,336
250,336
251,336
252,336
253,335
254,335
255,335
256,335
257,335
258,335
259,335
260,335
261,335
262,335
263,334
264,334
265,334
266,333
267,333
268,332
269,332
270,332
271,332
272,331
273,331
274,330
275,330
276,330
277,329
278,329
279,329
280,328
281,328
282,328
283,328
284,328
285,328
286,328
287,327
288,326
289,324
290,323
291,323
292,323
293,322
294,321
295,319
296,317
297,314
298,309
299,303
300,299
301,297
302,288
303,228
304,214
305,202
306,191
307,178
308,163
309,155
310,142
311,140
312,138
313,136
314,135
315,134
316,133
317,133
318,132
319,132
320,132
321,132
322,133
323,133
324,133
325,134
326,134
327,133
328,133
329,132
330,132
331,132
332,132
333,133
334,134
335,135
336,135
337,136
338,136
339,136
340,136
341,135
342,135
343,133
344,133
345,133
346,133
347,134
348,136
349,136
350,137
351,137
352,136
353,136
354,135
355,134
356,133
357,133
358,132
359,132
360,131
361,131
362,132
363,132
364,132
365,132
366,132
367,132
368,132
369,132
370,133
371,133
372,133
373,134
374,134
375,134
376,134
377,134
378,134
379,134
380,134
381,134
382,135
383,136
384,136
385,137
386,138
387,139
388,139
389,139
390,139
391,139
392,138
393,137
394,137
395,136
396,136
397,136
398,136
399,136
400,135
401,135
402,135
403,135
404,135
405,134
406,132
407,131
408,130
409,131
410,131
411,132
412,132
413,132
414,132
415,132
416,132
417,133
418,133
419,133
420,133
421,133
422,133
423,132
424,132
425,132
426,132
427,132
428,132
429,133
430,134
431,135
432,135
433,135
434,135
435,135
436,135
437,135
438,135
439,135
440,135
441,135
442,135
443,135
444,134
445,134
446,133
447,133
448,132
449,132
450,132
451,131
452,131
453,131
454,130
455,130
456,130
457,129
458,129
459,129
460,129
461,129
462,130
463,130
464,130
465,131
466,131
467,131
468,132
469,132
470,133
471,134
472,135
473,136
474,136
475,136
476,136
477,135
478,135
479,134
480,134
481,133
482,133
483,133
484,133
485,133
486,133
487,133
488,134
489,137
490,146
491,151
492,163
493,179
494,188
495,203
496,210
497,221
498,295
499,299
500,303
501,308
502,311
503,313
504,315
505,317
506,318
507,320
508,322
509,323
510,324
511,324
512,324
513,325
514,325
515,326
516,326
517,326
518,327
519,327
520,328
521,329
522,329
523,330
524,331
525,331
526,332
527,332
528,332
529,332
530,332
531,332
532,332
533,333
534,333
535,333
536,333
537,334
538,334
539,335
540,335
541,336
542,336
543,336
544,336
545,336
546,336
547,336
548,336
549,337
550,337
551,338
552,338
553,337
554,337
555,336
556,335
557,335
558,335
559,335
560,335
561,335
562,335
563,335
564,335
565,334
566,334
567,333
568,333
569,332
570,332
571,331
572,330
573,330
574,329
575,329
576,329
577,329
578,329
579,329
580,329
581,330
582,330
583,331
584,331
585,331
586,332
587,331
588,331
589,331
590,330
591,330
592,329
593,329
594,329
595,328
596,328
597,328
598,327
599,327
600,327
601,327
602,328
603,328
604,330
605,330
606,331
607,331
608,330
609,330
610,329
611,328
612,328
613,327
614,327
615,328
616,328
617,329
618,329
619,329
620,328
621,328
622,328
623,327
624,327
625,328
626,328
627,329
628,329
629,329
630,330
631,329
632,329
633,329
634,329
635,329
636,329
637,329
638,330
639,331
640,332
641,332
642,333
643,333
644,333
645,333
646,332
647,332
648,332
649,332
650,332
651,332
652,331
653,331
654,331
655,330
656,330
657,330
658,329
659,329
660,329
661,330
662,330
663,331
664,331
665,332
666,332
667,332
668,332
669,332
670,331
671,331
672,331
673,330
674,330
675,329
676,329
677,329
678,329
679,328
680,328
681,328
682,327
683,327
684,326
685,326
686,326
687,326
688,326
689,326
690,326
691,325
692,325
693,324
694,323
695,322
696,320
697,318
698,316
699,311
700,307
701,305
702,296
703,266
704,212
705,201
706,190
707,180
708,166
709,160
710,149
711,140
712,137
713,135
714,134
715,133
716,132
717,131
718,131
719,131
720,131
721,132
722,132
723,132
724,133
725,133
726,134
727,134
728,133
729,133
730,133
731,133
732,133
733,134
734,134
735,134
736,134
737,135
738,135
739,135
740,135
741,135
742,134
743,133
744,133
745,132
746,133
747,133
748,133
749,133
750,133
751,134
752,134
753,134
754,134
755,134
756,135
757,135
758,135
759,135
760,135
761,134
762,134
763,134
764,134
765,134
766,135
767,135
768,135
769,135
770,134
771,134
772,133
773,133
774,133
775,132
776,132
777,132
778,131
779,130
780,130
781,130
782,130
783,131
784,131
785,131
786,131
787,131
788,132
789,132
790,132
791,133
792,133
793,134
794,134
795,134
796,133
797,133
798,132
799,132
800,132
801,132
802,132
803,132
804,132
805,132
806,132
807,131
808,131
809,130
810,129
811,129
812,129
813,130
814,132
815,133
816,133
817,134
818,134
819,135
820,135
821,136
822,136
823,136
824,137
825,137
826,139
827,139
828,139
829,138
830,136
831,133
832,131
833,131
834,132
835,132
836,133
837,134
838,135
839,135
840,135
841,135
842,135
843,134
844,134
845,134
846,135
847,135
848,135
849,135
850,135
851,133
852,132
853,131
854,131
855,131
856,131
857,132
858,133
859,133
860,134
861,135
862,135
863,135
864,135
865,136
866,136
867,136
868,136
869,135
870,135
871,134
872,133
873,133
874,133
875,133
876,133
877,133
878,133
879,133
880,133
881,133
882,134
883,134
884,135
885,135
886,136
887,136
888,137
889,139
890,149
891,165
892,171
893,178
894,191
895,200
896,212
897,218
898,302
899,305
900,307
901,309
902,311
903,313
904,315
905,318
906,319
907,320
908,321
909,322
910,323
911,324
912,325
913,326
914,326
915,327
916,328
917,329
918,330
919,331
920,332
921,333
922,333
923,333
924,332
925,332
926,331
927,331
928,331
929,331
930,332
931,332
932,333
933,333
934,333
935,333
936,333
937,333
938,333
939,333
940,333
941,333
942,334
943,334
944,334
945,334
946,334
947,334
948,334
949,334
950,333
951,333
952,332
953,331
954,331
955,330
956,330
957,330
958,330
959,330
960,329
961,329
962,329
963,328
964,328
965,328
966,328
967,328
968,328
969,327
970,326
971,325
972,325
973,324
974,324
975,324
976,323
977,323
978,322
979,320
980,319
981,318
982,317
983,315
984,313
985,311
986,311
987,311
988,310
989,310
990,309
991,309
992,308
993,306
994,303
995,301
996,298
997,296
998,294
999,293
