x,y
798.5,53
798.5,54
0.5,54
797.5,55
99.5,55
98.5,55
0.5,55
797.5,56
795.5,56
794.5,56
747.5,56
746.5,56
735.5,56
734.5,56
703.5,56
702.5,56
657.5,56
656.5,56
635.5,56
634.5,56
600.5,56
599.5,56
598.5,56
597.5,56
216.5,56
214.5,56
199.5,56
198.5,56
193.5,56
192.5,56
159.5,56
158.5,56
143.5,56
142.5,56
141.5,56
139.5,56
99.5,56
98.5,56
47.5,56
46.5,56
45.5,56
44.5,56
0.5,56
797.5,57
795.5,57
793.5,57
783.5,57
781.5,57
767.5,57
765.5,57
757.5,57
754.5,57
745.5,57
744.5,57
735.5,57
734.5,57
719.5,57
718.5,57
717.5,57
716.5,57
706.5,57
705.5,57
703.5,57
700.5,57
697.5,57
696.5,57
693.5,57
692.5,57
682.5,57
681.5,57
673.5,57
671.5,57
670.5,57
667.5,57
662.5,57
661.5,57
660.5,57
656.5,57
655.5,57
654.5,57
640.5,57
638.5,57
636.5,57
634.5,57
623.5,57
622.5,57
600.5,57
596.5,57
582.5,57
581.5,57
580.5,57
579.5,57
216.5,57
213.5,57
199.5,57
198.5,57
194.5,57
192.5,57
190.5,57
189.5,57
159.5,57
158.5,57
143.5,57
139.5,57
120.5,57
118.5,57
116.5,57
115.5,57
100.5,57
97.5,57
91.5,57
89.5,57
82.5,57
81.5,57
76.5,57
75.5,57
47.5,57
46.5,57
45.5,57
43.5,57
34.5,57
32.5,57
13.5,57
11.5,57
1.5,57
792.5,58
783.5,58
781.5,58
780.5,58
778.5,58
773.5,58
771.5,58
767.5,58
765.5,58
757.5,58
753.5,58
748.5,58
744.5,58
735.5,58
734.5,58
729.5,58
728.5,58
720.5,58
718.5,58
708.5,58
704.5,58
703.5,58
700.5,58
699.5,58
696.5,58
693.5,58
692.5,58
685.5,58
683.5,58
682.5,58
681.5,58
678.5,58
677.5,58
675.5,58
665.5,58
664.5,58
663.5,58
662.5,58
654.5,58
652.5,58
651.5,58
650.5,58
648.5,58
641.5,58
633.5,58
625.5,58
622.5,58
616.5,58
615.5,58
613.5,58
611.5,58
607.5,58
605.5,58
601.5,58
596.5,58
586.5,58
585.5,58
584.5,58
578.5,58
219.5,58
217.5,58
216.5,58
213.5,58
199.5,58
197.5,58
196.5,58
192.5,58
190.5,58
189.5,58
184.5,58
183.5,58
176.5,58
172.5,58
165.5,58
163.5,58
159.5,58
157.5,58
156.5,58
155.5,58
143.5,58
137.5,58
130.5,58
128.5,58
126.5,58
125.5,58
120.5,58
117.5,58
116.5,58
115.5,58
100.5,58
94.5,58
91.5,58
89.5,58
87.5,58
86.5,58
82.5,58
81.5,58
80.5,58
79.5,58
76.5,58
73.5,58
65.5,58
63.5,58
56.5,58
54.5,58
52.5,58
51.5,58
47.5,58
46.5,58
45.5,58
43.5,58
34.5,58
30.5,58
29.5,58
27.5,58
22.5,58
20.5,58
13.5,58
10.5,58
8.5,58
7.5,58
5.5,58
4.5,58
3.5,58
790.5,59
788.5,59
787.5,59
783.5,59
776.5,59
774.5,59
770.5,59
768.5,59
765.5,59
763.5,59
761.5,59
759.5,59
752.5,59
750.5,59
741.5,59
739.5,59
737.5,59
735.5,59
733.5,59
732.5,59
730.5,59
729.5,59
728.5,59
724.5,59
723.5,59
722.5,59
718.5,59
717.5,59
716.5,59
710.5,59
696.5,59
694.5,59
693.5,59
691.5,59
689.5,59
686.5,59
679.5,59
678.5,59
663.5,59
662.5,59
654.5,59
653.5,59
651.5,59
650.5,59
648.5,59
647.5,59
646.5,59
642.5,59
632.5,59
631.5,59
630.5,59
625.5,59
620.5,59
618.5,59
615.5,59
613.5,59
608.5,59
607.5,59
605.5,59
603.5,59
596.5,59
590.5,59
588.5,59
585.5,59
577.5,59
576.5,59
574.5,59
573.5,59
572.5,59
221.5,59
220.5,59
219.5,59
210.5,59
199.5,59
192.5,59
191.5,59
188.5,59
184.5,59
182.5,59
178.5,59
172.5,59
166.5,59
155.5,59
150.5,59
149.5,59
148.5,59
147.5,59
145.5,59
134.5,59
131.5,59
128.5,59
126.5,59
124.5,59
122.5,59
109.5,59
101.5,59
94.5,59
93.5,59
88.5,59
87.5,59
85.5,59
82.5,59
79.5,59
77.5,59
71.5,59
66.5,59
63.5,59
61.5,59
60.5,59
56.5,59
54.5,59
52.5,59
51.5,59
49.5,59
43.5,59
35.5,59
26.5,59
23.5,59
18.5,59
13.5,59
10.5,59
9.5,59
4.5,59
3.5,59
775.5,60
774.5,60
751.5,60
750.5,60
740.5,60
739.5,60
737.5,60
736.5,60
730.5,60
729.5,60
727.5,60
726.5,60
723.5,60
722.5,60
715.5,60
711.5,60
692.5,60
690.5,60
689.5,60
686.5,60
646.5,60
642.5,60
632.5,60
631.5,60
628.5,60
625.5,60
619.5,60
618.5,60
604.5,60
603.5,60
595.5,60
590.5,60
574.5,60
573.5,60
572.5,60
223.5,60
208.5,60
203.5,60
188.5,60
186.5,60
185.5,60
184.5,60
181.5,60
178.5,60
172.5,60
166.5,60
155.5,60
151.5,60
147.5,60
146.5,60
134.5,60
133.5,60
132.5,60
131.5,60
109.5,60
106.5,60
104.5,60
101.5,60
84.5,60
83.5,60
79.5,60
77.5,60
63.5,60
61.5,60
59.5,60
58.5,60
57.5,60
56.5,60
42.5,60
41.5,60
37.5,60
35.5,60
18.5,60
17.5,60
16.5,60
14.5,60
751.5,61
750.5,61
727.5,61
726.5,61
713.5,61
712.5,61
689.5,61
687.5,61
628.5,61
627.5,61
619.5,61
618.5,61
595.5,61
594.5,61
572.5,61
224.5,61
208.5,61
203.5,61
187.5,61
186.5,61
181.5,61
180.5,61
172.5,61
169.5,61
154.5,61
152.5,61
134.5,61
133.5,61
108.5,61
107.5,61
84.5,61
83.5,61
62.5,61
61.5,61
37.5,61
36.5,61
688.5,62
687.5,62
595.5,62
594.5,62
572.5,62
225.5,62
207.5,62
204.5,62
171.5,62
169.5,62
153.5,62
152.5,62
134.5,62
133.5,62
84.5,62
83.5,62
595.5,63
594.5,63
571.5,63
225.5,63
205.5,63
204.5,63
571.5,64
227.5,64
571.5,65
228.5,65
571.5,66
228.5,66
570.5,67
228.5,67
569.5,68
229.5,68
568.5,69
229.5,69
568.5,70
229.5,70
568.5,71
229.5,71
567.5,72
229.5,72
565.5,73
232.5,73
231.5,73
229.5,73
565.5,74
231.5,74
565.5,75
232.5,75
564.5,76
232.5,76
564.5,77
233.5,77
564.5,78
232.5,78
564.5,79
232.5,79
564.5,80
233.5,80
563.5,81
233.5,81
561.5,82
234.5,82
561.5,83
234.5,83
561.5,84
234.5,84
559.5,85
237.5,85
236.5,85
235.5,85
558.5,86
237.5,86
558.5,87
237.5,87
557.5,88
239.5,88
557.5,89
240.5,89
556.5,90
239.5,90
555.5,91
240.5,91
555.5,92
240.5,92
555.5,93
240.5,93
555.5,94
241.5,94
554.5,95
242.5,95
554.5,96
243.5,96
554.5,97
243.5,97
554.5,98
553.5,98
552.5,98
244.5,98
552.5,99
244.5,99
552.5,100
244.5,100
551.5,101
245.5,101
551.5,102
245.5,102
551.5,103
245.5,103
551.5,104
245.5,104
551.5,105
248.5,105
550.5,106
248.5,106
549.5,107
248.5,107
549.5,108
249.5,108
549.5,109
249.5,109
549.5,110
548.5,110
547.5,110
249.5,110
547.5,111
249.5,111
548.5,112
250.5,112
547.5,113
250.5,113
546.5,114
251.5,114
545.5,115
251.5,115
545.5,116
252.5,116
543.5,117
252.5,117
542.5,118
253.5,118
541.5,119
253.5,119
541.5,120
254.5,120
542.5,121
255.5,121
541.5,122
255.5,122
541.5,123
255.5,123
541.5,124
256.5,124
540.5,125
256.5,125
539.5,126
257.5,126
540.5,127
257.5,127
539.5,128
257.5,128
539.5,129
258.5,129
538.5,130
258.5,130
538.5,131
260.5,131
538.5,132
260.5,132
537.5,133
260.5,133
536.5,134
260.5,134
536.5,135
261.5,135
534.5,136
261.5,136
534.5,137
261.5,137
534.5,138
262.5,138
533.5,139
264.5,139
535.5,140
534.5,140
533.5,140
264.5,140
533.5,141
264.5,141
533.5,142
265.5,142
532.5,143
265.5,143
532.5,144
267.5,144
531.5,145
267.5,145
530.5,146
267.5,146
529.5,147
267.5,147
528.5,148
267.5,148
528.5,149
269.5,149
527.5,150
269.5,150
527.5,151
270.5,151
527.5,152
271.5,152
526.5,153
271.5,153
526.5,154
273.5,154
526.5,155
273.5,155
526.5,156
273.5,156
524.5,157
523.5,157
522.5,157
274.5,157
524.5,158
274.5,158
522.5,159
276.5,159
275.5,159
274.5,159
522.5,160
277.5,160
276.5,160
275.5,160
522.5,161
277.5,161
521.5,162
277.5,162
522.5,163
277.5,163
521.5,164
277.5,164
520.5,165
277.5,165
520.5,166
277.5,166
520.5,167
279.5,167
517.5,168
280.5,168
517.5,169
281.5,169
517.5,170
280.5,170
517.5,171
281.5,171
517.5,172
281.5,172
517.5,173
282.5,173
516.5,174
283.5,174
516.5,175
283.5,175
516.5,176
283.5,176
514.5,177
283.5,177
513.5,178
284.5,178
512.5,179
285.5,179
512.5,180
285.5,180
512.5,181
285.5,181
511.5,182
285.5,182
512.5,183
511.5,183
510.5,183
285.5,183
510.5,184
285.5,184
510.5,185
286.5,185
510.5,186
287.5,186
509.5,187
287.5,187
509.5,188
288.5,188
509.5,189
288.5,189
509.5,190
289.5,190
508.5,191
507.5,191
506.5,191
289.5,191
507.5,192
506.5,192
505.5,192
290.5,192
505.5,193
290.5,193
505.5,194
290.5,194
505.5,195
290.5,195
505.5,196
291.5,196
505.5,197
293.5,197
503.5,198
294.5,198
503.5,199
294.5,199
504.5,200
294.5,200
504.5,201
293.5,201
504.5,202
293.5,202
504.5,203
293.5,203
504.5,204
293.5,204
504.5,205
294.5,205
503.5,206
294.5,206
503.5,207
295.5,207
504.5,208
503.5,208
502.5,208
295.5,208
503.5,209
294.5,209
502.5,210
295.5,210
503.5,211
295.5,211
502.5,212
295.5,212
502.5,213
295.5,213
502.5,214
295.5,214
502.5,215
296.5,215
501.5,216
296.5,216
501.5,217
296.5,217
501.5,218
297.5,218
296.5,218
295.5,218
502.5,219
297.5,219
500.5,220
298.5,220
500.5,221
298.5,221
500.5,222
297.5,222
500.5,223
298.5,223
499.5,224
298.5,224
499.5,225
405.5,225
404.5,225
299.5,225
499.5,226
406.5,226
402.5,226
318.5,226
317.5,226
299.5,226
498.5,227
482.5,227
481.5,227
478.5,227
477.5,227
442.5,227
439.5,227
407.5,227
402.5,227
385.5,227
384.5,227
318.5,227
317.5,227
300.5,227
495.5,228
482.5,228
481.5,228
478.5,228
476.5,228
463.5,228
462.5,228
442.5,228
438.5,228
431.5,228
430.5,228
428.5,228
426.5,228
407.5,228
401.5,228
386.5,228
383.5,228
381.5,228
380.5,228
371.5,228
369.5,228
348.5,228
346.5,228
339.5,228
338.5,228
330.5,228
329.5,228
318.5,228
315.5,228
300.5,228
494.5,229
485.5,229
481.5,229
479.5,229
476.5,229
475.5,229
474.5,229
463.5,229
460.5,229
443.5,229
438.5,229
431.5,229
430.5,229
429.5,229
425.5,229
415.5,229
413.5,229
407.5,229
401.5,229
400.5,229
399.5,229
386.5,229
380.5,229
374.5,229
368.5,229
349.5,229
344.5,229
339.5,229
338.5,229
336.5,229
335.5,229
334.5,229
332.5,229
331.5,229
328.5,229
319.5,229
315.5,229
302.5,229
492.5,230
488.5,230
474.5,230
465.5,230
459.5,230
444.5,230
437.5,230
435.5,230
434.5,230
431.5,230
423.5,230
417.5,230
413.5,230
410.5,230
397.5,230
396.5,230
395.5,230
387.5,230
380.5,230
375.5,230
368.5,230
363.5,230
361.5,230
359.5,230
355.5,230
353.5,230
344.5,230
340.5,230
338.5,230
337.5,230
327.5,230
325.5,230
324.5,230
321.5,230
314.5,230
302.5,230
492.5,231
490.5,231
473.5,231
466.5,231
458.5,231
451.5,231
450.5,231
444.5,231
437.5,231
436.5,231
434.5,231
433.5,231
423.5,231
418.5,231
395.5,231
393.5,231
392.5,231
389.5,231
378.5,231
375.5,231
368.5,231
364.5,231
354.5,231
353.5,231
341.5,231
340.5,231
326.5,231
325.5,231
324.5,231
321.5,231
313.5,231
302.5,231
473.5,232
467.5,232
454.5,232
452.5,232
448.5,232
444.5,232
423.5,232
418.5,232
394.5,232
393.5,232
378.5,232
377.5,232
367.5,232
365.5,232
312.5,232
308.5,232
306.5,232
302.5,232
472.5,233
471.5,233
470.5,233
467.5,233
454.5,233
452.5,233
447.5,233
446.5,233
445.5,233
444.5,233
367.5,233
366.5,233
310.5,233
308.5,233
306.5,233
305.5,233
453.5,234
452.5,234
447.5,234
446.5,234
799,52.5
798,54.5
797,57.5
796,57.5
795,55.5
794,56.5
793,57.5
792,58.5
791,58.5
790,59.5
789,59.5
788,58.5
787,59.5
786,59.5
785,59.5
784,59.5
783,56.5
782,56.5
781,58.5
780,57.5
779,57.5
778,58.5
777,58.5
776,59.5
775,60.5
774,58.5
773,57.5
772,57.5
771,58.5
770,59.5
769,59.5
768,58.5
767,56.5
766,56.5
765,59.5
764,59.5
763,58.5
762,58.5
761,59.5
760,59.5
759,58.5
758,58.5
757,56.5
756,56.5
755,56.5
754,57.5
753,58.5
752,59.5
751,61.5
750,58.5
749,58.5
748,57.5
747,55.5
747,56.5
747,57.5
746,57.5
745,56.5
744,58.5
743,58.5
