x,y
0,154
1,154
2,154
3,154
4,154
5,154
6,154
7,153
8,153
9,152
10,152
11,152
12,152
13,152
14,152
15,152
16,152
17,152
18,153
19,153
20,154
21,154
22,154
23,154
24,154
25,154
26,154
27,153
28,153
29,153
30,153
31,153
32,153
33,153
34,153
35,153
36,152
37,152
38,152
39,152
40,152
41,152
42,152
43,152
44,152
45,152
46,152
47,152
48,152
49,152
50,153
51,153
52,153
53,153
54,153
55,153
56,153
57,153
58,153
59,152
60,152
61,152
62,152
63,152
64,152
65,152
66,153
67,153
68,154
69,154
70,155
71,155
72,155
73,154
74,153
75,153
76,152
77,153
78,153
79,153
80,152
81,152
82,151
83,151
84,152
85,152
86,153
87,153
88,153
89,153
90,153
91,153
92,153
93,153
94,153
95,153
96,153
97,153
98,153
99,153
100,154
101,154
102,154
103,153
104,153
105,152
106,152
107,152
108,152
109,153
110,154
111,155
112,155
113,155
114,155
115,155
116,155
117,155
118,154
119,154
120,153
121,153
122,153
123,153
124,153
125,153
126,153
127,153
128,153
129,153
130,153
131,153
132,153
133,153
134,154
135,154
136,154
137,154
138,154
139,153
140,152
141,152
142,152
143,152
144,153
145,153
146,154
147,154
148,153
149,153
150,153
151,153
152,153
153,154
154,154
155,154
156,153
157,153
158,152
159,152
160,153
161,153
162,153
163,153
164,153
165,153
166,153
167,153
168,153
169,153
170,153
171,153
172,153
173,153
174,153
175,153
176,153
177,153
178,153
179,153
180,153
181,153
182,153
183,153
184,153
185,153
186,152
187,152
188,152
189,152
190,152
191,152
192,153
193,153
194,153
195,154
196,154
197,154
198,154
199,153
200,153
201,153
202,153
203,153
204,153
205,153
206,153
207,153
208,153
209,153
210,153
211,153
212,153
213,153
214,153
215,153
216,153
217,153
218,153
219,153
220,153
221,152
222,152
223,152
224,152
225,152
226,152
227,152
228,152
229,152
230,153
231,152
232,152
233,152
234,153
235,153
236,155
237,158
238,160
239,163
240,165
241,170
242,173
243,180
244,182
245,187
246,190
247,192
248,195
249,200
250,203
251,208
252,213
253,218
254,220
255,223
256,225
257,228
258,232
259,238
260,241
261,247
262,250
263,253
264,256
265,261
266,264
267,268
268,273
269,277
270,280
271,284
272,286
273,288
274,293
275,298
276,301
277,304
278,307
279,313
280,318
281,321
282,323
283,325
284,334
285,337
286,339
287,341
288,346
289,349
290,351
291,356
292,359
293,365
294,368
295,374
296,377
297,381
298,383
299,520
300,525
301,534
302,539
303,541
304,543
305,544
306,546
307,551
308,553
309,556
310,559
311,563
312,565
313,567
314,570
315,573
316,577
317,579
318,581
319,582
320,584
321,585
322,585
323,586
324,587
325,589
326,595
327,597
328,598
329,599
330,601
331,603
332,604
333,605
334,606
335,606
336,606
337,606
338,606
339,606
340,606
341,607
342,607
343,608
344,610
345,611
346,612
347,613
348,614
349,615
350,615
351,615
352,615
353,615
354,615
355,615
356,615
357,614
358,613
359,611
360,609
361,607
362,606
363,605
364,605
365,604
366,604
367,605
368,605
369,605
370,605
371,605
372,604
373,604
374,604
375,603
376,603
377,602
378,602
379,602
380,602
381,602
382,602
383,602
384,600
385,597
386,595
387,592
388,589
389,585
390,581
391,579
392,577
393,577
394,576
395,575
396,575
397,572
398,569
399,567
400,566
401,566
402,566
403,566
404,565
405,565
406,564
407,564
408,564
409,563
410,562
411,560
412,557
413,555
414,555
415,555
416,556
417,557
418,559
419,559
420,560
421,559
422,559
423,559
424,558
425,558
426,559
427,560
428,561
429,562
430,563
431,565
432,567
433,568
434,568
435,567
436,567
437,566
438,565
439,565
440,566
441,566
442,566
443,566
444,565
445,564
446,562
447,560
448,559
449,558
450,557
451,557
452,557
453,557
454,557
455,557
456,558
457,558
458,557
459,557
460,557
461,557
462,557
463,557
464,558
465,559
466,560
467,561
468,562
469,563
470,564
471,564
472,564
473,564
474,564
475,563
476,562
477,561
478,560
479,559
480,559
481,559
482,559
483,559
484,558
485,556
486,556
487,555
488,556
489,556
490,557
491,559
492,560
