depth_px,width_px
0.000000000000000000e+00,8.177413101620163616e+01
1.000000000000000000e+00,8.167993566225464974e+01
2.000000000000000000e+00,8.156210471216536462e+01
3.000000000000000000e+00,8.143285078268402799e+01
4.000000000000000000e+00,8.130491848891824702e+01
5.000000000000000000e+00,8.118809605657963857e+01
6.000000000000000000e+00,8.108891719307702317e+01
7.000000000000000000e+00,8.101190787284009787e+01
8.000000000000000000e+00,8.096069157885031586e+01
9.000000000000000000e+00,8.093849825057522196e+01
1.000000000000000000e+01,8.094829458621181573e+01
1.100000000000000000e+01,8.099276937398312270e+01
1.200000000000000000e+01,8.107429411866743862e+01
1.300000000000000000e+01,8.119487749345512384e+01
1.400000000000000000e+01,8.135612618610417712e+01
1.500000000000000000e+01,8.155921321229061505e+01
1.600000000000000000e+01,8.180485457353735512e+01
1.700000000000000000e+01,8.209329491024141134e+01
1.800000000000000000e+01,8.242430255002253148e+01
1.900000000000000000e+01,8.279717408682813584e+01
2.000000000000000000e+01,8.321074835653966772e+01
2.100000000000000000e+01,8.366342941003358646e+01
2.200000000000000000e+01,8.415321783434802683e+01
2.300000000000000000e+01,8.467774954573224022e+01
2.400000000000000000e+01,8.523434098283084381e+01
2.500000000000000000e+01,8.582003947061929239e+01
2.600000000000000000e+01,8.643167741087785316e+01
2.700000000000000000e+01,8.706592888605914027e+01
2.800000000000000000e+01,8.771936724156105925e+01
2.900000000000000000e+01,8.838852223593589486e+01
3.000000000000000000e+01,8.906993541691562655e+01
3.100000000000000000e+01,8.976021248913409067e+01
3.200000000000000000e+01,9.045607158151065619e+01
3.300000000000000000e+01,9.115438649176783770e+01
3.400000000000000000e+01,9.185222417507468151e+01
3.500000000000000000e+01,9.254687594553949737e+01
3.600000000000000000e+01,9.323588206537995404e+01
3.700000000000000000e+01,9.391704959955018239e+01
3.800000000000000000e+01,9.458846360647828533e+01
3.900000000000000000e+01,9.524849191231442092e+01
4.000000000000000000e+01,9.589578387171602003e+01
4.100000000000000000e+01,9.652926364891348499e+01
4.200000000000000000e+01,9.714811865608326968e+01
4.300000000000000000e+01,9.775178386064987990e+01
4.400000000000000000e+01,9.833992271901036020e+01
4.500000000000000000e+01,9.891240551239256718e+01
4.600000000000000000e+01,9.946928585315659177e+01
4.700000000000000000e+01,1.000107760996455966e+02
4.800000000000000000e+01,1.005372223680838886e+02
4.900000000000000000e+01,1.010490797647976393e+02
5.000000000000000000e+01,1.015468883851600026e+02
5.100000000000000000e+01,1.020312505411010591e+02
5.200000000000000000e+01,1.025028095905714736e+02
5.300000000000000000e+01,1.029622306534901952e+02
5.400000000000000000e+01,1.034101834125170569e+02
5.500000000000000000e+01,1.038473271160513747e+02
5.600000000000000000e+01,1.042742978272125214e+02
5.700000000000000000e+01,1.046916978977124302e+02
5.800000000000000000e+01,1.051000875904392444e+02
5.900000000000000000e+01,1.054999787297025904e+02
6.000000000000000000e+01,1.058918302234551732e+02
6.100000000000000000e+01,1.062760452770317130e+02
6.200000000000000000e+01,1.066529701023546295e+02
6.300000000000000000e+01,1.070228939192285651e+02
6.400000000000000000e+01,1.073860500452036604e+02
6.500000000000000000e+01,1.077426178763615781e+02
6.600000000000000000e+01,1.080927255720694689e+02
6.700000000000000000e+01,1.084364532710802678e+02
6.800000000000000000e+01,1.087738366832250847e+02
6.900000000000000000e+01,1.091048709193414368e+02
7.000000000000000000e+01,1.094295144411253204e+02
7.100000000000000000e+01,1.097476930315384323e+02
7.200000000000000000e+01,1.100593037046444067e+02
7.300000000000000000e+01,1.103642184908215569e+02
7.400000000000000000e+01,1.106622880488718437e+02
7.500000000000000000e+01,1.109533450704049216e+02
7.600000000000000000e+01,1.112372074539119353e+02
7.700000000000000000e+01,1.115136812361340048e+02
7.800000000000000000e+01,1.117825632767283963e+02
7.900000000000000000e+01,1.120436436989406559e+02
8.000000000000000000e+01,1.122967080941527627e+02
8.100000000000000000e+01,1.125415395019568194e+02
8.200000000000000000e+01,1.127779201799879019e+02
8.300000000000000000e+01,1.130056331793190338e+02
8.400000000000000000e+01,1.132244637419559865e+02
8.500000000000000000e+01,1.134342005370379098e+02
8.600000000000000000e+01,1.136346367519054752e+02
8.700000000000000000e+01,1.138255710533761942e+02
8.800000000000000000e+01,1.140068084334853040e+02
8.900000000000000000e+01,1.141781609527076853e+02
9.000000000000000000e+01,1.143394483923524660e+02
9.100000000000000000e+01,1.144904988264807173e+02
9.200000000000000000e+01,1.146311491223870860e+02
9.300000000000000000e+01,1.147612453774418384e+02
9.400000000000000000e+01,1.148806432989374287e+02
9.500000000000000000e+01,1.149892085325354003e+02
9.600000000000000000e+01,1.150868169439740996e+02
9.700000000000000000e+01,1.151733548578767028e+02
9.800000000000000000e+01,1.152487192567884904e+02
9.900000000000000000e+01,1.153128179429681381e+02
1.000000000000000000e+02,1.153655696649510105e+02
1.010000000000000000e+02,1.154069042104830345e+02
1.020000000000000000e+02,1.154367624670854724e+02
1.030000000000000000e+02,1.154550964512399958e+02
1.040000000000000000e+02,1.154618693069743642e+02
1.050000000000000000e+02,1.154570552744705481e+02
1.060000000000000000e+02,1.154406396292038721e+02
1.070000000000000000e+02,1.154126185920431880e+02
1.080000000000000000e+02,1.153729992106973157e+02
1.090000000000000000e+02,1.153217992128697631e+02
1.100000000000000000e+02,1.152590468314855485e+02
1.110000000000000000e+02,1.151847806023684626e+02
1.120000000000000000e+02,1.150990491347789231e+02
1.130000000000000000e+02,1.150019108552635032e+02
1.140000000000000000e+02,1.148934337253176921e+02
1.150000000000000000e+02,1.147736949334217371e+02
1.160000000000000000e+02,1.146427805620733125e+02
1.170000000000000000e+02,1.145007852305095071e+02
1.180000000000000000e+02,1.143478117138852213e+02
1.190000000000000000e+02,1.141839705397506179e+02
1.200000000000000000e+02,1.140093795627533666e+02
1.210000000000000000e+02,1.138241635185736698e+02
1.220000000000000000e+02,1.136284535581889088e+02
1.230000000000000000e+02,1.134223867636555383e+02
1.240000000000000000e+02,1.132061056466900482e+02
1.250000000000000000e+02,1.129797576314295497e+02
1.260000000000000000e+02,1.127434945228553005e+02
1.270000000000000000e+02,1.124974719624681967e+02
1.280000000000000000e+02,1.122418488729185242e+02
1.290000000000000000e+02,1.119767868934072652e+02
1.300000000000000000e+02,1.117024498077999510e+02
1.310000000000000000e+02,1.114190029675206546e+02
1.320000000000000000e+02,1.111266127114291180e+02
1.330000000000000000e+02,1.108254457850232484e+02
1.340000000000000000e+02,1.105156687614573627e+02
1.350000000000000000e+02,1.101974474670187760e+02
1.360000000000000000e+02,1.098709464138668892e+02
1.370000000000000000e+02,1.095363282430035667e+02
1.380000000000000000e+02,1.091937531806168096e+02
1.390000000000000000e+02,1.088433785111158159e+02
1.400000000000000000e+02,1.084853580703572504e+02
1.410000000000000000e+02,1.081198417627447270e+02
1.420000000000000000e+02,1.077469751060695842e+02
1.430000000000000000e+02,1.073668988081419968e+02
1.440000000000000000e+02,1.069797483794408492e+02
1.450000000000000000e+02,1.065856537861817515e+02
1.460000000000000000e+02,1.061847391483610465e+02
1.470000000000000000e+02,1.057771224874773281e+02
1.480000000000000000e+02,1.053629155287522394e+02
1.490000000000000000e+02,1.049422235627662303e+02
1.500000000000000000e+02,1.045151453714821628e+02
1.510000000000000000e+02,1.040817732236456266e+02
1.520000000000000000e+02,1.036421929445143064e+02
1.530000000000000000e+02,1.031964840647714965e+02
1.540000000000000000e+02,1.027447200533116813e+02
1.550000000000000000e+02,1.022869686383356225e+02
1.560000000000000000e+02,1.018232922208520392e+02
1.570000000000000000e+02,1.013537483842363827e+02
1.580000000000000000e+02,1.008783905029385721e+02
1.590000000000000000e+02,1.003972684527453652e+02
1.600000000000000000e+02,9.991042942418521022e+01
1.610000000000000000e+02,9.941791883969952437e+01
1.620000000000000000e+02,9.891978137409363114e+01
1.630000000000000000e+02,9.841606207651588534e+01
1.640000000000000000e+02,9.790680759079515383e+01
1.650000000000000000e+02,9.739206746939890991e+01
1.660000000000000000e+02,9.687189557456335365e+01
1.670000000000000000e+02,9.634635155830713416e+01
1.680000000000000000e+02,9.581550241109044919e+01
1.690000000000000000e+02,9.527942406684695698e+01
1.700000000000000000e+02,9.473820305002797681e+01
1.710000000000000000e+02,9.419193814819908539e+01
1.720000000000000000e+02,9.364074209166022911e+01
1.730000000000000000e+02,9.308474321957783104e+01
1.740000000000000000e+02,9.252408711027695176e+01
1.750000000000000000e+02,9.195893815170612129e+01
1.760000000000000000e+02,9.138948102672293317e+01
1.770000000000000000e+02,9.081592208681965417e+01
1.780000000000000000e+02,9.023849058727917338e+01
1.790000000000000000e+02,8.965743975658193676e+01
1.800000000000000000e+02,8.907304767322483485e+01
1.810000000000000000e+02,8.848561792400097659e+01
1.820000000000000000e+02,8.789548001924933374e+01
1.830000000000000000e+02,8.730298954261971289e+01
1.840000000000000000e+02,8.670852801548952016e+01
1.850000000000000000e+02,8.611250245927385549e+01
1.860000000000000000e+02,8.551534464241305500e+01
1.870000000000000000e+02,8.491751000270377858e+01
1.880000000000000000e+02,8.431947623972811812e+01
1.890000000000000000e+02,8.372174157627657110e+01
1.900000000000000000e+02,8.312482269167298909e+01
1.910000000000000000e+02,8.252925233360164725e+01
1.920000000000000000e+02,8.193557661820463522e+01
1.930000000000000000e+02,8.134435203066793463e+01
1.940000000000000000e+02,8.075614214007045177e+01
1.950000000000000000e+02,8.017151404279638882e+01
1.960000000000000000e+02,7.959103454822647450e+01
1.970000000000000000e+02,7.901526611873215700e+01
1.980000000000000000e+02,7.844476257330126145e+01
1.990000000000000000e+02,7.788006456065838279e+01
2.000000000000000000e+02,7.732169480388206750e+01
2.010000000000000000e+02,7.677015311480627702e+01
2.020000000000000000e+02,7.622591117363103308e+01
2.030000000000000000e+02,7.600000000000000000e+01
2.040000000000000000e+02,7.600000000000000000e+01
2.050000000000000000e+02,7.600000000000000000e+01
2.060000000000000000e+02,7.600000000000000000e+01
2.070000000000000000e+02,7.600000000000000000e+01
2.080000000000000000e+02,7.600000000000000000e+01
2.090000000000000000e+02,7.600000000000000000e+01
2.100000000000000000e+02,7.600000000000000000e+01
2.110000000000000000e+02,7.600000000000000000e+01
2.120000000000000000e+02,7.600000000000000000e+01
2.130000000000000000e+02,7.600000000000000000e+01
2.140000000000000000e+02,7.600000000000000000e+01
2.150000000000000000e+02,7.600000000000000000e+01
2.160000000000000000e+02,7.600000000000000000e+01
2.170000000000000000e+02,7.600000000000000000e+01
2.180000000000000000e+02,7.600000000000000000e+01
2.190000000000000000e+02,7.600000000000000000e+01
2.200000000000000000e+02,7.600000000000000000e+01
2.210000000000000000e+02,7.600000000000000000e+01
2.220000000000000000e+02,7.600000000000000000e+01
2.230000000000000000e+02,7.600000000000000000e+01
2.240000000000000000e+02,7.600000000000000000e+01
2.250000000000000000e+02,7.600000000000000000e+01
2.260000000000000000e+02,7.600000000000000000e+01
2.270000000000000000e+02,7.600000000000000000e+01
2.280000000000000000e+02,7.600000000000000000e+01
2.290000000000000000e+02,7.600000000000000000e+01
2.300000000000000000e+02,7.600000000000000000e+01
2.310000000000000000e+02,7.600000000000000000e+01
2.320000000000000000e+02,7.600000000000000000e+01
2.330000000000000000e+02,7.600000000000000000e+01
2.340000000000000000e+02,7.600000000000000000e+01
2.350000000000000000e+02,7.600000000000000000e+01
2.360000000000000000e+02,7.600000000000000000e+01
